2014-02-22T15:44:52.991536Z <001>    11 MB info    | loading project file ./13_00_01.0250.appleseed.jonathans-mbp-2_lan...
2014-02-22T15:44:53.021706Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape10_27_6.obj (1 object, 124 vertices, 244 triangles) in 0 ms.
2014-02-22T15:44:53.021948Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape11_28_6.obj (1 object, 108 vertices, 212 triangles) in 0 ms.
2014-02-22T15:44:53.022122Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape12_29_6.obj (1 object, 60 vertices, 116 triangles) in 0 ms.
2014-02-22T15:44:53.022355Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape13_30_6.obj (1 object, 95 vertices, 186 triangles) in 0 ms.
2014-02-22T15:44:53.023197Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_polySurfaceShape11_31_6.obj (1 object, 604 vertices, 1,188 triangles) in 1 ms.
2014-02-22T15:44:53.023497Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_polySurfaceShape23_32_6.obj (1 object, 164 vertices, 306 triangles) in 0 ms.
2014-02-22T15:44:53.023661Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_box_table1_geo_box_tableShape_33_6.obj (1 object, 47 vertices, 88 triangles) in 0 ms.
2014-02-22T15:44:53.026353Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cacti1_geo_cactus_Shape1_34_6.obj (1 object, 2,099 vertices, 1,842 triangles) in 3 ms.
2014-02-22T15:44:53.026547Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cacti1_geo_cactus_Shape2_35_6.obj (1 object, 71 vertices, 130 triangles) in 0 ms.
2014-02-22T15:44:53.027113Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cacti1_geo_cactus_Shape3_36_6.obj (1 object, 501 vertices, 589 triangles) in 1 ms.
2014-02-22T15:44:53.027300Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cerial_box_geo_cerial_box_bagShape_38_6.obj (1 object, 85 vertices, 152 triangles) in 0 ms.
2014-02-22T15:44:53.027521Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cerial_box_geo_cerial_boxShape_37_6.obj (1 object, 110 vertices, 193 triangles) in 0 ms.
2014-02-22T15:44:53.027687Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_chopping_board_geo_chopping_boardShape_39_6.obj (1 object, 47 vertices, 82 triangles) in 0 ms.
2014-02-22T15:44:53.027870Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can_geo_coke_canShape_40_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028056Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can1_geo_coke_canShape_41_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028237Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can2_geo_coke_canShape_42_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028418Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can3_geo_coke_canShape_43_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028608Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can4_geo_coke_canShape_44_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028788Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_coke_can5_geo_coke_canShape_45_6.obj (1 object, 77 vertices, 146 triangles) in 0 ms.
2014-02-22T15:44:53.028894Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_cutting_mat_geo_cutting_matShape_46_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.029151Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dead_plant_geo_dead_plantShape_47_6.obj (1 object, 168 vertices, 226 triangles) in 0 ms.
2014-02-22T15:44:53.029371Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_bowl_0Shape1_48_6.obj (1 object, 112 vertices, 220 triangles) in 0 ms.
2014-02-22T15:44:53.029574Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_forkShape_49_6.obj (1 object, 96 vertices, 188 triangles) in 0 ms.
2014-02-22T15:44:53.029710Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_knifeShape_50_6.obj (1 object, 33 vertices, 62 triangles) in 0 ms.
2014-02-22T15:44:53.029955Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_plate_0Shape1_51_6.obj (1 object, 82 vertices, 160 triangles) in 0 ms.
2014-02-22T15:44:53.030211Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_saucer_0Shape1_52_6.obj (1 object, 72 vertices, 140 triangles) in 0 ms.
2014-02-22T15:44:53.030582Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_spaghetti_plateShape_53_6.obj (1 object, 260 vertices, 432 triangles) in 0 ms.
2014-02-22T15:44:53.030835Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_spatula_endShape_55_6.obj (1 object, 104 vertices, 228 triangles) in 0 ms.
2014-02-22T15:44:53.030980Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_spatula_handleShape_54_6.obj (1 object, 36 vertices, 72 triangles) in 0 ms.
2014-02-22T15:44:53.031137Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_table_spoonShape_56_6.obj (1 object, 52 vertices, 100 triangles) in 0 ms.
2014-02-22T15:44:53.031319Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_table_wooden_spoonShape_57_6.obj (1 object, 66 vertices, 128 triangles) in 0 ms.
2014-02-22T15:44:53.031472Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishes_geo_tea_spoonShape_58_6.obj (1 object, 52 vertices, 100 triangles) in 0 ms.
2014-02-22T15:44:53.031976Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_dishrack1_geo_dishrackShape_59_6.obj (1 object, 432 vertices, 664 triangles) in 0 ms.
2014-02-22T15:44:53.032129Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_door_geo_door_knobsShape_61_6.obj (1 object, 50 vertices, 84 triangles) in 0 ms.
2014-02-22T15:44:53.032300Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_door_outputCloth1_62_6.obj (1 object, 82 vertices, 130 triangles) in 0 ms.
2014-02-22T15:44:53.032953Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_door_outputCloth2_63_6.obj (1 object, 550 vertices, 1,020 triangles) in 1 ms.
2014-02-22T15:44:53.033197Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_door_geo_door_hangerShape_64_6.obj (1 object, 140 vertices, 252 triangles) in 0 ms.
2014-02-22T15:44:53.033302Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_door_geo_doorShape_60_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.033433Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_pillowShape1_66_6.obj (1 object, 26 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.033571Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_pillowShape2_67_6.obj (1 object, 27 vertices, 50 triangles) in 0 ms.
2014-02-22T15:44:53.033703Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_pillowShape_68_6.obj (1 object, 30 vertices, 56 triangles) in 0 ms.
2014-02-22T15:44:53.034022Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_duvetShape_69_6.obj (1 object, 242 vertices, 480 triangles) in 0 ms.
2014-02-22T15:44:53.034312Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_matressShape_70_6.obj (1 object, 184 vertices, 364 triangles) in 0 ms.
2014-02-22T15:44:53.034477Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_geo_bed_frameShape_65_6.obj (1 object, 68 vertices, 96 triangles) in 0 ms.
2014-02-22T15:44:53.035006Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_double_bed_pPlaneShape1_71_250.obj (1 object, 4 vertices, 2 triangles) in 0 ms.
2014-02-22T15:44:53.035427Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_files_geo_files_0Shape1_72_6.obj (1 object, 56 vertices, 100 triangles) in 0 ms.
2014-02-22T15:44:53.035893Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_files_geo_files_0Shape2_73_6.obj (1 object, 84 vertices, 148 triangles) in 0 ms.
2014-02-22T15:44:53.036340Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_files_geo_files_0Shape3_74_6.obj (1 object, 80 vertices, 136 triangles) in 0 ms.
2014-02-22T15:44:53.037022Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_fire_blanket_geo_fire_blanketShape_75_250.obj (1 object, 44 vertices, 60 triangles) in 1 ms.
2014-02-22T15:44:53.037834Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_fridge_geo_fridge_doorShape_77_250.obj (1 object, 44 vertices, 72 triangles) in 1 ms.
2014-02-22T15:44:53.038367Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_fridge_geo_fridgeShape_76_6.obj (1 object, 90 vertices, 164 triangles) in 0 ms.
2014-02-22T15:44:53.039045Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_antennaShape_78_6.obj (1 object, 314 vertices, 450 triangles) in 1 ms.
2014-02-22T15:44:53.039310Z <001>    14 MB warning | while loading mesh object "_Home_set_01_geo_back_roof_Home_set_01_geo_back_roofShape.0": 16 polygonal faces (out of 69) could not be triangulated and have been replaced by zero-area triangles.
2014-02-22T15:44:53.039348Z <001>    14 MB warning | while loading mesh object "_Home_set_01_geo_back_roof_Home_set_01_geo_back_roofShape.0": 64 normal vectors (out of 224) were null and have been replaced by arbitrary unit-length vectors.
2014-02-22T15:44:53.039383Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_back_roofShape_79_6.obj (1 object, 80 vertices, 138 triangles) in 0 ms.
2014-02-22T15:44:53.039633Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_cooker_frontShape_80_6.obj (1 object, 78 vertices, 130 triangles) in 0 ms.
2014-02-22T15:44:53.039946Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_cooker_topShape_81_6.obj (1 object, 132 vertices, 188 triangles) in 0 ms.
2014-02-22T15:44:53.040129Z <001>    14 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kfc_roofShape_82_6.obj (1 object, 30 vertices, 36 triangles) in 0 ms.
2014-02-22T15:44:53.040588Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kfc_wallShape_83_6.obj (1 object, 167 vertices, 285 triangles) in 0 ms.
2014-02-22T15:44:53.040774Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_cupboardsShape_84_6.obj (1 object, 30 vertices, 38 triangles) in 0 ms.
2014-02-22T15:44:53.040953Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape1_85_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041138Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape2_86_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041332Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape3_87_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041498Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape4_88_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041665Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape5_89_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041829Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape6_90_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.041995Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_door_knob_Shape7_91_6.obj (1 object, 25 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.042147Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_kitchen_wall_tilesShape_92_6.obj (1 object, 12 vertices, 13 triangles) in 0 ms.
2014-02-22T15:44:53.042319Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_lampshade1Shape_93_6.obj (1 object, 42 vertices, 80 triangles) in 0 ms.
2014-02-22T15:44:53.042493Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_lampshadeShape2_94_6.obj (1 object, 42 vertices, 80 triangles) in 0 ms.
2014-02-22T15:44:53.042668Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_geo_lampshadeShape3_95_6.obj (1 object, 42 vertices, 80 triangles) in 0 ms.
2014-02-22T15:44:53.042870Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_glassShape1_96_6.obj (1 object, 64 vertices, 100 triangles) in 0 ms.
2014-02-22T15:44:53.042996Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_glassShape2_97_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.043124Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_glassShape3_98_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.043250Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_glassShape4_99_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.043430Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_gtech_hdd_geo_gtech_hdd_0Shape1_100_6.obj (1 object, 36 vertices, 68 triangles) in 0 ms.
2014-02-22T15:44:53.043616Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_gtech_hdd_geo_gtech_hdd_0Shape2_101_6.obj (1 object, 36 vertices, 68 triangles) in 0 ms.
2014-02-22T15:44:53.043800Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_gtech_hdd_geo_gtech_hdd_0Shape3_102_6.obj (1 object, 36 vertices, 68 triangles) in 0 ms.
2014-02-22T15:44:53.044088Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_guitar1_geo_guitar_cappoShape_105_6.obj (1 object, 86 vertices, 164 triangles) in 0 ms.
2014-02-22T15:44:53.045354Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_guitar1_geo_guitarShape_104_6.obj (1 object, 742 vertices, 1,268 triangles) in 1 ms.
2014-02-22T15:44:53.045591Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_guitar1_geo_guitar_stringShape_103_6.obj (1 object, 102 vertices, 200 triangles) in 0 ms.
2014-02-22T15:44:53.045845Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kettle1_geo_kettleShape_106_6.obj (1 object, 110 vertices, 196 triangles) in 0 ms.
2014-02-22T15:44:53.046274Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kettle1_geo_kettle_baseShape_107_6.obj (1 object, 261 vertices, 486 triangles) in 0 ms.
2014-02-22T15:44:53.046438Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_keyboard_geo_keyboardShape_108_6.obj (1 object, 28 vertices, 52 triangles) in 0 ms.
2014-02-22T15:44:53.046601Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_drimstick_meatShape_111_6.obj (1 object, 41 vertices, 72 triangles) in 0 ms.
2014-02-22T15:44:53.046766Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_drimstick_boneShape_110_6.obj (1 object, 42 vertices, 80 triangles) in 0 ms.
2014-02-22T15:44:53.047041Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_chipsShape_112_6.obj (1 object, 120 vertices, 216 triangles) in 0 ms.
2014-02-22T15:44:53.047202Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_boxShape_109_6.obj (1 object, 35 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.047377Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_pepsi_strawShape_114_6.obj (1 object, 30 vertices, 50 triangles) in 0 ms.
2014-02-22T15:44:53.047681Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_kfc_box_geo_kfc_pepsiShape_113_6.obj (1 object, 86 vertices, 168 triangles) in 0 ms.
2014-02-22T15:44:53.048627Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_knife_block_geo_knife_blockShape_115_6.obj (1 object, 374 vertices, 705 triangles) in 1 ms.
2014-02-22T15:44:53.048901Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_lampshade_chord_Shape1_116_6.obj (1 object, 32 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.049052Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_lampshade_chord_Shape2_117_6.obj (1 object, 32 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.049179Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_lampshade_chord_Shape3_118_6.obj (1 object, 32 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.049331Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_polySurfaceShape2_121_6.obj (1 object, 49 vertices, 74 triangles) in 0 ms.
2014-02-22T15:44:53.049427Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_pPlaneShape1_122_6.obj (1 object, 4 vertices, 2 triangles) in 0 ms.
2014-02-22T15:44:53.049557Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_pCubeShape2_120_6.obj (1 object, 24 vertices, 44 triangles) in 0 ms.
2014-02-22T15:44:53.049958Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_pCubeShape3_123_250.obj (1 object, 8 vertices, 10 triangles) in 0 ms.
2014-02-22T15:44:53.050116Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_pCubeShape1_119_6.obj (1 object, 32 vertices, 60 triangles) in 0 ms.
2014-02-22T15:44:53.050439Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_speaker_geo_speakerShape_124_6.obj (1 object, 186 vertices, 355 triangles) in 0 ms.
2014-02-22T15:44:53.050771Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_laptop_speaker1_geo_speakerShape_125_6.obj (1 object, 186 vertices, 355 triangles) in 0 ms.
2014-02-22T15:44:53.050901Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_lloyds_grossman_jar_geo_lloyds_grossman_jar_lidShape_127_6.obj (1 object, 25 vertices, 40 triangles) in 0 ms.
2014-02-22T15:44:53.051129Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_lloyds_grossman_jar_geo_lloyds_grossman_jarShape_126_6.obj (1 object, 89 vertices, 168 triangles) in 0 ms.
2014-02-22T15:44:53.052646Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_man_master_costume_01_clothesShape_129_250.obj (1 object, 469 vertices, 914 triangles) in 1 ms.
2014-02-22T15:44:53.055108Z <001>    15 MB info    | loaded mesh file ./_geometry/Home_set_01_man_master_costume_01_skinShape_130_250.obj (1 object, 982 vertices, 1,800 triangles) in 2 ms.
2014-02-22T15:44:53.055490Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_mcdonnalds_bag_geo_mcdonnalds_bagShape_145_6.obj (1 object, 236 vertices, 450 triangles) in 0 ms.
2014-02-22T15:44:53.055627Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_mcdonnalds_bag_geo_mcdonnalds_strawShape_147_6.obj (1 object, 30 vertices, 48 triangles) in 0 ms.
2014-02-22T15:44:53.055808Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_mcdonnalds_bag_geo_mcdonnalds_cokeShape_146_6.obj (1 object, 62 vertices, 120 triangles) in 0 ms.
2014-02-22T15:44:53.056004Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_microwave_geo_microwaveShape_148_6.obj (1 object, 68 vertices, 132 triangles) in 0 ms.
2014-02-22T15:44:53.056218Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_office_chair1_geo_office_chair_wheel_Shape2_150_6.obj (1 object, 30 vertices, 52 triangles) in 0 ms.
2014-02-22T15:44:53.056365Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_office_chair1_geo_office_chair_wheel_Shape1_151_6.obj (1 object, 30 vertices, 52 triangles) in 0 ms.
2014-02-22T15:44:53.056501Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_office_chair1_geo_office_chair_wheel_Shape5_152_6.obj (1 object, 30 vertices, 52 triangles) in 0 ms.
2014-02-22T15:44:53.056637Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_office_chair1_geo_office_chair_wheel_Shape4_153_6.obj (1 object, 30 vertices, 52 triangles) in 0 ms.
2014-02-22T15:44:53.056774Z <001>    16 MB info    | loaded mesh file ./_geometry/Home_set_01_office_chair1_geo_office_chair_wheel_Shape3_154_6.obj (1 object, 30 vertices, 52 triangles) in 0 ms.
